Vehicle_ID,Manufacturer,Model,Year,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Autonomous_Level,CO2_Emissions_g_per_km,Safety_Rating,Units_Sold_2024,Warranty_Years,Revenue of 2024,Price Category,Battery Effeciency (km/ kWh),Range Category,Autonous Level Coulumn,Unit Selling Category
1,Acura,ZDX (with GM Ultium),2015,Lithium-titanate,55.8,214,CHAdeMO,9,111203.94,Matte White,Uk,0,0,5,19726,3,2193608920,Premium,4,Mid-Range,None,Very High
2,Lamborghini,Revuelto (PHEV),2025,Lithium-titanate,90.8,212,Vehicle-to-Home (V2H),7.3,127131.65,White,Netherlands,2,0,4,3349,3,425763895.9,Luxury,2,Mid-Range,Intermediate,Medium
3,Nio,ET7,2020,Calcium-ion,64.7,235,Level 2 Charging,8.9,94347.37,Beige,Uk,5,0,5,6300,5,594388431,Premium,4,Mid-Range,Full,High
4,Audi,e-tron,2025,Lithium-iron phosphate,120.5,140,Ultra-Fast Charging (350 kW+),10.5,75615.15,Sunset Orange,Argentina,2,0,5,2339,5,176863835.9,Mid-Range,1,Low Range,Intermediate,Medium
5,Acura,ZDX (with GM Ultium),2023,Lithium-titanate,51.8,336,Plug-in Hydrogen Refueling,3.6,141046.94,Ice Silver,United Arab Emirates,2,0,3,1051,4,148240333.9,Luxury,6,Mid-Range,Intermediate,Medium
6,Xpeng,G9,2016,Lithium-iron phosphate,138.7,390,Mobile Charging,2.9,89907.75,Ruby Red,Australia,3,0,5,8609,5,774015819.8,Premium,3,Mid-Range,Advanced,High
7,Jeep,Recon (upcoming),2024,Nickel-cobalt-aluminum,67.1,170,Vehicle-to-Load (V2L),1.5,35653.97,Orange,Sweden,5,0,4,12504,5,445817240.9,Budget,3,Low Range,Full,Very High
8,Changan,Q05,2019,Lead-acid,131.9,105,CCS,8.3,94436.44,Bronze,Mexico,3,0,5,8630,5,814986477.2,Premium,1,Low Range,Advanced,High
9,Citroen,ë-C4,2023,Aluminum-ion,33.8,420,Solar Charging,10.2,90919.55,Metallic Silver,Sweden,1,0,5,18,5,1636551.9,Premium,12,High Range,Basic,Very Low
10,Rimac,Nevera,2015,Solid-state,140.8,549,Solar Charging,3.3,58904.59,Matte Green,Uk,3,0,4,17455,3,1028179618,Mid-Range,4,High Range,Advanced,Very High
11,Volkswagen,ID.Buzz,2022,Lead-acid,41.5,370,Vehicle-to-Grid (V2G),11.6,141469.62,Stealth Gray,Denmark,3,0,4,16959,4,2399183286,Luxury,9,Mid-Range,Advanced,Very High
12,Jaguar,I-PACE,2018,Solid-state,64,401,Ultra-Fast Charging (350 kW+),7.3,30862.9,Cosmic Purple,South Korea,0,0,4,7798,4,240668894.2,Budget,6,High Range,None,High
13,Mini,Mini Cooper SE,2018,Lead-acid,37.2,578,Vehicle-to-Load (V2L),3.3,86756.75,Tan,Denmark,3,0,4,15303,5,1327638545,Premium,16,High Range,Advanced,Very High
14,Bmw,iX3,2025,Flow batteries,32.8,306,Mobile Charging,9.7,43112.28,Metallic Silver,Denmark,1,0,3,2470,4,106487331.6,Mid-Range,9,Mid-Range,Basic,Medium
15,Faraday Future,FF 91,2015,Flow batteries,149.9,528,Level 1 Charging,11.6,141164.04,Rose Gold,Belgium,3,0,3,5394,4,761438831.8,Luxury,4,High Range,Advanced,High
16,Tesla,Model Y,2019,Aluminum-ion,121.9,332,Solar Charging,5.4,144878.12,Burgundy,United Arab Emirates,3,0,3,18978,5,2749496961,Luxury,3,Mid-Range,Advanced,Very High
17,Maserati,Grecale Folgore,2020,Lithium-ion,26.5,344,NACS,1.2,90939.42,Rose Gold,Norway,3,0,4,3928,5,357210041.8,Premium,13,Mid-Range,Advanced,Medium
18,Polestar,Polestar 2,2024,Solid-state,74.5,398,Mobile Charging,11.2,54511.1,Cosmic Purple,Hungary,3,0,4,10360,3,564734996,Mid-Range,5,Mid-Range,Advanced,Very High
19,Tesla,Model Y,2024,Zinc-air,149.5,137,Inductive (Wireless) Charging,6.3,45894.79,Teal,China,2,0,5,9912,5,454909158.5,Mid-Range,1,Low Range,Intermediate,High
20,Faraday Future,FF 91,2025,Calcium-ion,92.1,577,CCS,11.3,46114.93,Orange,France,1,0,5,11235,3,518101238.6,Mid-Range,6,High Range,Basic,Very High
21,Skoda,Elroq (upcoming),2019,Lead-acid,83.5,563,Level 2 Charging,1.6,80829.09,Bronze,Japan,3,0,4,5294,5,427909202.5,Premium,7,High Range,Advanced,High
22,Geely,Emgrand EV,2021,Lead-acid,21.3,138,CHAdeMO,6.8,130151.4,Matte Blue,United Arab Emirates,3,0,3,11724,3,1525895014,Luxury,6,Low Range,Advanced,Very High
23,Skoda,Enyaq,2025,Solid-state,66,386,Vehicle-to-Grid (V2G),11.7,119937.31,Forest Green,Netherlands,1,0,4,10885,4,1305517619,Premium,6,Mid-Range,Basic,Very High
24,Faraday Future,FF 91,2019,Nickel-metal hydride,122.4,155,Plug-in Hydrogen Refueling,10.5,133031.19,Crimson Red,Denmark,3,0,3,7304,3,971659811.8,Luxury,1,Low Range,Advanced,High
25,Mini,Mini Electric,2021,Sodium-ion,56.2,135,Battery Swapping,4.5,91128.68,Sky Blue,Saudi Arabia,0,0,3,19024,4,1733632008,Premium,2,Low Range,None,Very High
26,Chevrolet,Bolt EV,2024,Nickel-cobalt-aluminum,64.9,502,Mobile Charging,5.5,148108.3,Orange,India,1,0,3,17036,5,2523172999,Luxury,8,High Range,Basic,Very High
27,Skoda,Elroq (upcoming),2025,Lithium-iron phosphate,67.3,135,Mobile Charging,7.7,109606.5,Orange,Poland,5,0,4,18166,3,1991111679,Premium,2,Low Range,Full,Very High
28,Lucid Motors,Lucid Gravity,2025,Nickel-cobalt-aluminum,108.1,562,NACS,7.6,66113.98,Matte Gray,Usa,1,0,5,10559,4,698097514.8,Mid-Range,5,High Range,Basic,Very High
29,Geely,Geometry C,2025,Lithium-iron phosphate,86.5,506,NACS,8.1,64054.37,Lime Green,Finland,1,0,3,4828,3,309254498.4,Mid-Range,6,High Range,Basic,Medium
30,Chevrolet,Bolt EUV,2022,Zinc-air,130.5,137,Vehicle-to-Home (V2H),5.3,105571.85,Metallic Silver,India,1,0,3,13931,3,1470721442,Premium,1,Low Range,Basic,Very High
31,Porsche,Cayenne Electric (upcoming),2015,Lead-acid,52.4,534,CCS,5.7,126169.99,Lime Green,South Africa,4,0,4,16540,4,2086851635,Luxury,10,High Range,Full,Very High
32,Lamborghini,Lanzador (upcoming EV),2017,Lithium-titanate,132,330,Battery Swapping,9.1,130783.55,Bronze,South Africa,1,0,4,9362,3,1224395595,Luxury,2,Mid-Range,Basic,High
33,Toyota,Lexus RZ,2020,Aluminum-ion,90.2,170,CHAdeMO,3.2,113273.98,Cosmic Purple,Switzerland,3,0,4,2040,3,231078919.2,Premium,2,Low Range,Advanced,Medium
34,Li Auto,MEGA,2024,Lithium-titanate,22.5,550,Plug-in Hydrogen Refueling,6,143129,Magenta,India,3,0,5,7226,4,1034250154,Luxury,24,High Range,Advanced,High
35,Volvo,EX30,2021,Nickel-manganese-cobalt,23.8,272,Plug-in Hydrogen Refueling,8.8,130860.68,Gray,Finland,3,0,3,14044,3,1837807390,Luxury,11,Mid-Range,Advanced,Very High
36,Changan,SL03,2015,Lithium-sulfur,69.3,208,Vehicle-to-Home (V2H),4.3,121347.56,Beige,Portugal,3,0,4,635,5,77055700.6,Luxury,3,Mid-Range,Advanced,Low
37,Maserati,Grecale Folgore,2020,Lithium-iron phosphate,104.5,499,Level 2 Charging,9.2,143953.41,Metallic Silver,Germany,1,0,5,7142,4,1028115254,Luxury,5,High Range,Basic,High
38,Seat,Avenger,2020,Nickel-metal hydride,98.8,593,CCS,9.4,49651.9,Magenta,France,2,0,4,12997,5,645325744.3,Mid-Range,6,High Range,Intermediate,Very High
39,Lucid Motors,Lucid Air,2024,Lithium-titanate,128,224,CCS,8.5,66189.92,Sky Blue,Ireland,4,0,4,12142,3,803678008.6,Mid-Range,2,Mid-Range,Full,Very High
40,Mg,MG5 EV,2015,Calcium-ion,74.6,350,CCS,5.5,73462.56,Titanium,Australia,3,0,5,8850,5,650143656,Mid-Range,5,Mid-Range,Advanced,High
41,Faraday Future,FF 91,2022,Nickel-cobalt-aluminum,127.3,403,Battery Swapping,4.2,59459.42,Green,Portugal,1,0,5,12418,4,738367077.6,Mid-Range,3,High Range,Basic,Very High
42,Nissan,Ariya,2020,Nickel-metal hydride,83.4,281,Battery Swapping,4.4,135638.4,Ice Silver,Portugal,4,0,4,13317,4,1806296573,Luxury,3,Mid-Range,Full,Very High
43,Lamborghini,Revuelto (PHEV),2022,Flow batteries,112.5,329,Level 1 Charging,1.6,56591.57,Ice Silver,Belgium,4,0,4,13942,5,788999668.9,Mid-Range,3,Mid-Range,Full,Very High
44,Lamborghini,Lanzador (upcoming EV),2020,Lithium-titanate,79,256,Battery Swapping,3.2,116554.12,Purple,Canada,5,0,4,9060,5,1055980327,Premium,3,Mid-Range,Full,High
45,Jeep,Wagoneer S,2016,Calcium-ion,45.2,216,Overhead Pantograph Charging,2.6,31697.8,Matte White,Italy,0,0,3,16085,3,509859113,Budget,5,Mid-Range,None,Very High
46,Tesla,Cybertruck,2019,Nickel-manganese-cobalt,82.2,274,NACS,11.6,60297.41,Aurora Blue,Canada,3,0,5,1756,3,105882252,Mid-Range,3,Mid-Range,Advanced,Medium
47,Ford,E-Transit,2016,Lithium-iron phosphate,35.4,491,Vehicle-to-Grid (V2G),7.5,124888.9,Crimson Red,South Africa,3,0,4,10006,5,1249638333,Luxury,14,High Range,Advanced,Very High
48,Gmc,Hummer EV Pickup,2024,Lithium-titanate,32.9,490,Inductive (Wireless) Charging,7.7,61757.54,Green,Netherlands,4,0,4,14762,5,911664805.5,Mid-Range,15,High Range,Full,Very High
49,Cadillac,Celestiq,2019,Lithium-ion,50.1,461,Solar Charging,8.6,84483.76,Sky Blue,Austria,5,0,3,13930,3,1176858777,Premium,9,High Range,Full,Very High
50,Maserati,Grecale Folgore,2025,Nickel-metal hydride,138.1,523,CHAdeMO,1.3,49910.73,Magenta,Ireland,4,0,4,9964,5,497310513.7,Mid-Range,4,High Range,Full,High
51,Xpeng,G9,2023,Lead-acid,84.2,141,Level 2 Charging,10.7,118144.07,Gun Metal,Spain,3,0,5,19238,3,2272855619,Premium,2,Low Range,Advanced,Very High
52,Citroen,Ami,2019,Zinc-air,25.2,487,NACS,5.9,108181.14,Bronze,Norway,3,0,3,15401,4,1666097737,Premium,19,High Range,Advanced,Very High
53,Li Auto,L9,2020,Flow batteries,33.6,182,Mobile Charging,5.2,89456.28,Lime Green,Thailand,4,0,4,8270,4,739803435.6,Premium,5,Low Range,Full,High
54,Jaguar,I-PACE,2023,Calcium-ion,148.5,436,Vehicle-to-Home (V2H),5.3,52509.9,Turquoise,Finland,5,0,4,8750,5,459461625,Mid-Range,3,High Range,Full,High
55,Volkswagen,ID.5,2022,Aluminum-ion,110.8,162,Level 1 Charging,11.7,103064.6,Forest Green,Netherlands,0,0,4,3717,4,383091118.2,Premium,1,Low Range,None,Medium
